vin	model	model_year	description	manufacturer	condition	vehicle_type	horsepower	fuel_type	colors	purchase_date	purchase_price	customer_seller	inventory_clerk	sale_date	customer_buyer	salesperson
01CHA2S3LWA849979	ET5	2023	air filtration system; check the Monroney sticker - theer is nothing better than this vehicle; 	Nio	Very Good	Convertible	177	Battery	Maroon	2023-05-13	27403.81	812418597	user21	2023-08-20	649248115	owner
0216UZ8NIB3005163	XINGYUE	2023		Geeley	Excellent	Convertible	184	Plugin Hybrid	Aluminum	2023-04-11	21252.90	087754715	user07	2023-06-09	917146407	owner
02XKB48A5UB828603	LR2	2014		Land Rover	Good	Convertible	169	Gas	Cream	2023-04-27	6579.43	712329540	user09	2023-05-08	313904048	user16
06U80HCPBYG352728	CL	2002	hatchback; 	Acura	Excellent	Van	298	Battery	Black	2023-05-02	4847.00	559983722	user17			
07XSZFNEBDW349840	COOPER	2007	sturdy rear axle assembly; 	MINI	Very Good	Minivan	254	Battery	Gold	2023-01-13	3474.57	801084912	user17	2023-06-18	289098127	user03
0D2HX2R6775123500	FORTWO	2015	can be used as sports car; 	smart	Very Good	Sedan	209	Battery	Gray	2022-12-12	10483.21	202765813	user11	2023-07-27	868715602	user23
0GXWO6TK0YG939311	FX45	2008		INFINITI	Very Good	CUV	287	Battery	Copper	2022-09-17	6082.82	732317837	user11	2022-10-26	740611372	user04
0H6SRXF8EP7967929	R1T	2023	original equipment manufacturer (OEM) parts; front axle assembly; 	Rivian	Fair	CUV	287	Gas	Gold	2022-10-18	10426.26	980497412	user05	2023-01-18	938929270	user25
0K3KCEYO5WR993877	RAIDER	2006	rear wheel drive; 	Mitsubishi	Very Good	Coupe	210	Hybrid	Cream,Turquoise	2022-08-25	5997.68	779146875	user02	2023-03-24	590937909	user19
0KAMFH817HG984940	CORVETTE	2005	wide transaxle; 	Chevrolet	Fair	Coupe	371	Gas	Bronze	2022-07-17	3552.44	180557460	user11	2022-09-15	629812240	user25
0KSVK7T0HVD586286	BRZ	2013	hatchback; 	Subaru	Fair	Van	316	Gas	Blue	2022-10-05	4698.20	766904975	user11			
0MRJ620G5FE640131	LACROSSE	2006	can be used as sports car; 	Buick	Fair	Minivan	198	Battery	Green	2022-10-25	2846.92	033375455	user15			
0OPU81GJG8C160079	ELISE	2008	high torque; wide cam; 	Lotus	Good	Coupe	330	Diesel	Black	2023-01-22	3074.72	031943406	user24			
0PT8CVJWV8T188907	ELDORADO	2002	sport utility vehicle-SUV; 	Cadillac	Fair	Van	354	Fuel Cell	Bronze	2023-03-05	1118.99	812418597	user24			
0QFCBGN24Y3098876	ARNAGE	2007		Bentley	Good	Coupe	308	Diesel	Blue	2022-08-07	5197.51	824643871	user20	2023-02-22	824643871	user25
0UWKB1SP7C0135655	R1T	2023	best suspension; 	Rivian	Excellent	Minivan	207	Gas	Green	2023-08-08	10450.29	704558763	user07			
11O1YZUFMFN275554	FOCUS	2013	crankcase; automatic transmission; very hard struts; 	Ford	Excellent	Minivan	201	Gas	Gray	2023-02-09	7351.52	556187762	user17	2023-08-27	203112624	user23
1HVL421OTR3071057	W4500 FORWARD	2005	small spark plug gap; 	GMC	Good	Van	292	Plugin Hybrid	Gold	2022-08-06	3989.05	722473507	user13	2023-07-25	766904975	user06
1UCBIT5YXDJ919563	C30	2010	high differential; 	Volvo	Very Good	Truck	320	Diesel	Aluminum	2022-08-10	5050.42	170197151	user07			
201DHVWO70I456603	PROMASTER 1500	2015		Ram	Excellent	CUV	265	Gas	Gold	2022-07-15	12508.11	392747745	user10	2023-04-10	914475403	user19
22EISXE65K7154002	ES8 NEW	2023	automatic transmission; minivan; 	Nio	Fair	Convertible	160	Battery	Red	2022-08-31	10954.50	457885161	user09	2023-07-16	971509095	user04
24G081632WM888163	RANGE ROVER SPORT	2012		Land Rover	Very Good	Sedan	154	Diesel	Gray	2023-06-01	3624.75	778214839	user24	2023-08-13	009295495	user23
26GJDWHYLTU230526	R1S NEW	2023		Rivian	Fair	Convertible	179	Gas	Metallic	2023-03-31	25881.29	712329540	user07	2023-07-08	938929270	user04
2J8FN6TAGEZ924085	MP4-12C	2012	can be used as sports car; 	McLaren	Fair	Convertible	155	Hybrid	Cream	2023-06-25	5218.55	446640568	user24			
2KJBD48273Y069356	F650CS ABS	2005	no backfire/backfiring; 	BMW	Very Good	Convertible	197	Plugin Hybrid	Gold	2023-01-12	8702.51	519824004	user11	2023-01-18	329866577	user19
2LBKYDFHTK3034814	S6	2009	drum brake; 	Audi	Excellent	Convertible	177	Gas	Copper	2023-01-06	9730.56	677936515	user02	2023-07-17	061387114	user03
2PKESKWHCJ4479804	OUTLANDER	2014	sport utility vehicle-SUV; 	Mitsubishi	Good	Minivan	217	Hybrid	Gold	2023-06-09	7571.39	189578947	user02	2023-07-29	629812240	user25
2UWYFE50XIB423887	CABRIO	2004		smart	Excellent	Minivan	226	Diesel	Beige	2022-11-30	6418.78	116667329	user15			
340D7EL25S2404955	330XI	2005	high volume cylinder; 	BMW	Very Good	Minivan	237	Gas	Pink	2023-07-09	2657.12	861158388	user02	2023-08-13	643263338	user19
3CKLOVNGZ51537051	760LI	2009	automatic safety features; rear wheel drive; best suspension; 	BMW	Very Good	CUV	308	Gas	Maroon	2023-02-01	10475.00	307192832	user20	2023-05-10	988602508	user16
3FFSR68RD0K441878	QUATTROPORTE	2005	pickup; disc brake; front axle assembly; 	Maserati	Excellent	SUV	349	Fuel Cell	Green	2023-03-08	3133.78	190389930	user21	2023-08-24	240171065	owner
3IU2B4ORS6A077319	FORTWO	2007	manual transmission; 	smart	Excellent	Van	358	Diesel	Cream	2023-08-29	7491.59	945585317	user12			
3J6IMNCNYTR099621	STS	2008	modern dashboard; 	Cadillac	Very Good	SUV	289	Gas	Blue	2022-07-25	8733.09	421317175	user24	2023-02-28	279776839	user25
3NO8BO4OGTL807840	G550	2015	four-wheel drive; disc brake; detail; 	Mercedes-Benz	Fair	SUV	281	Battery	Orange,Red,Turquoise	2023-05-08	12496.90	489738648	user15			
3POHTV1PFW1510449	RX-8	2006	pickup; 	MAZDA	Excellent	Coupe	356	Battery	Navy	2023-08-15	9754.03	847939559	user09			
